unique_identifier,PaperId,Doi
10.1111/j.1471-6402.1996.tb00667.x,2139120848,10.1111/j.1471-6402.1996.tb00667.x
10.1177/0011128718779363,2807275068,10.1177/0011128718779363
10.1177/0014585816669937,2580410881,10.1177/0014585816669937
10.1177/0031512517720565,2737937147,10.1177/0031512517720565
10.1177/0093854806290239,1968333705,10.1177/0093854806290239
10.1177/0164027505285918,2129322670,10.1177/0164027505285918
10.1177/0170840607079536,2140421751,10.1177/0170840607079536
10.1177/0276146711423666,2152447535,10.1177/0276146711423666
10.1177/0300060517707113,2616459790,10.1177/0300060517707113
10.1177/0308275X14530577,2150127243,10.1177/0308275X14530577
10.1177/0308518X17718374,2764342241,10.1177/0308518X17718374
10.1177/0739986314551939,2167973180,10.1177/0739986314551939
10.1177/0743558402171003,2057530358,10.1177/0743558402171003
10.1177/088740349901000305,1983443628,10.1177/088740349901000305
10.1177/0891243218794648,2892260156,10.1177/0891243218794648
10.1177/0973408216661442,2515596521,10.1177/0973408216661442
10.1177/1024258909357875,2129478781,10.1177/1024258909357875
10.1177/107769906704400104,1977717034,10.1177/107769906704400104
10.1177/1079063214544333,2145875965,10.1177/1079063214544333
10.1177/1088767912471670,2101866676,10.1177/1088767912471670
10.1177/1362361316679000,2589118743,10.1177/1362361316679000
10.1177/1362480616659821,2549152729,10.1177/1362480616659821
10.1177/1464884916648095,2404237539,10.1177/1464884916648095
10.1177/146642400312300409,2132199299,10.1177/146642400312300409
10.1177/1468018115599820,2400157400,10.1177/1468018115599820
10.1177/1524500416648915,2346245034,10.1177/1524500416648915
10.1177/1524838017726427,2752747008,10.1177/1524838017726427
10.1177/1529100617699241,2605730422,10.1177/1529100617699241
10.1177/1532673X7800600302,2001419108,10.1177/1532673X7800600302
10.1177/1532673X9202000301,2029693676,10.1177/1532673X9202000301
10.1177/1534735416649034,2401442028,10.1177/1534735416649034
10.1177/1541204008324910,2159206904,10.1177/1541204008324910
10.1177/1541204009333834,2130055626,10.1177/1541204009333834
10.1177/2041669517699221,2605760300,10.1177/2041669517699221
10.1177/2158244014551711,2323230390,10.1177/2158244014551711
10.1177/2158244014565335,2176170461,10.1177/2158244014565335
10.1177/2158244015585999,2185191285,10.1177/2158244015585999
10.1177/2158244016630772,2292814413,10.1177/2158244016630772
10.1177/2158244016667450,2527526516,10.1177/2158244016667450
10.1177/2158244017706597,2613283774,10.1177/2158244017706597
bbk-240,"",""
10.1111/j.1467-9248.1977.tb01285.x,2132815484,10.1111/j.1467-9248.1977.tb01285.x
10.1177/0002764209331527,2158977034,10.1177/0002764209331527
10.1177/000312240406900103,2018819421,10.1177/000312240406900103
10.1177/0010414004271080,2083204641,10.1177/0010414004271080
10.1177/0020872807077911,2021165482,10.1177/0020872807077911
10.1177/002234336500200402,2055997334,10.1177/002234336500200402
10.1177/0093854816661215,2488540286,10.1177/0093854816661215
10.1177/0148558X14521205,2613758728,10.1177/0148558X14521205
10.1177/0261018317745610,2775426589,10.1177/0261018317745610
10.1177/0267658312461803,2145093990,10.1177/0267658312461803
10.1177/0269215514547598,2110934205,10.1177/0269215514547598
10.1177/0269216311432899,2162245986,10.1177/0269216311432899
10.1177/0272684X16657451,2470755097,10.1177/0272684X16657451
10.1177/0300060513503926,2140747059,10.1177/0300060513503926
10.1177/0300060516681398,2577794967,10.1177/0300060516681398
10.1177/0306624X13511587,2118793651,10.1177/0306624X13511587
10.1177/0308518X16656000,2411452857,10.1177/0308518X16656000
10.1177/0741932508327467,2113243371,10.1177/0741932508327467
10.1177/0885066604265799,2131505617,10.1177/0885066604265799
10.1177/0885728811420135,1973326199,10.1177/0885728811420135
10.1177/0886260518812073,2901523904,10.1177/0886260518812073
10.1177/0950422217725227,2749090937,10.1177/0950422217725227
10.1177/0958928705057262,2040273549,10.1177/0958928705057262
10.1177/1037969X18771104,"",""
10.1177/1049732308318825,2171813687,10.1177/1049732308318825
10.1177/1053451210374986,2059306605,10.1177/1053451210374986
10.1177/1056492615579081,2095034143,10.1177/1056492615579081
10.1177/1065912908330728,2065683884,10.1177/1065912908330728
10.1177/1069072717714538,2631499063,10.1177/1069072717714538
10.1177/109861119900200203,2011724133,10.1177/109861119900200203
10.1177/1356336X08095668,1963611439,10.1177/1356336X08095668
10.1177/1391561415575137,2466217717,10.1177/1391561415575137
10.1177/1468018111431667,2033873243,10.1177/1468018111431667
10.1177/1468087418789528,2883784609,10.1177/1468087418789528
10.1177/1470320314545557,2111014970,10.1177/1470320314545557
10.1177/1527476417699708,2604804827,10.1177/1527476417699708
10.1177/1753465817750524,2794221242,10.1177/1753465817750524
10.1177/2053168015589804,2179096468,10.1177/2053168015589804
10.1177/2053951717704673,2607060815,10.1177/2053951717704673
10.1177/2055668317706427,2620177017,10.1177/2055668317706427
10.1177/2056997115620621,2229494053,10.1177/2056997115620621
10.1177/2059799115622749,2323877905,10.1177/2059799115622749
10.1177/2158244011413474,2115681030,10.1177/2158244011413474
10.1177/2321024916680430,2569999534,10.1177/2321024916680430
10.3102/00028312042003537,"",""
10.3132/dvdr.2006.004,1964257160,10.3132/dvdr.2006.004
10.5034/inquiryjrnl_39.2.101,2127778289,10.5034/inquiryjrnl_39.2.101
bbk-259,"",""
bbk-300,"",""
10.1068/i0396,2123513559,10.1068/i0396
10.1068/i0518sas,2121160202,10.1068/i0518sas
10.1080/15401420490426963,2037449853,10.1080/15401420490426963
10.1177/0002716206296779,2024953892,10.1177/0002716206296779
10.1177/0002716208325256,2144467075,10.1177/0002716208325256
10.1177/0002764206289135,2039421139,10.1177/0002764206289135
10.1177/0004865818781191,2807950807,10.1177/0004865818781191
10.1177/0022466910378044,2096799484,10.1177/0022466910378044
10.1177/0049124110378095,2035578617,10.1177/0049124110378095
10.1177/0142064X17723488,2743785938,10.1177/0142064X17723488
10.1177/0190272515607493,2280687986,10.1177/0190272515607493
10.1177/0194599814553930,2085071085,10.1177/0194599814553930
10.1177/0261927X17706939,2586226075,10.1177/0261927X17706939
