PaperId,AuthorId,DisplayName,LastKnownAffiliationId,PaperCount
2104865572,39367150,Bruce H. R. Wolffenbuttel,1334415907,546
2139458019,141843689,Sylvie Démurger,203339264,79
2111178213,315081531,Paul M. Guinther,888729015,6
2271983574,345889393,Casey A. Klofstad,145608581,47
2310476556,430514087,Julie Byles,78757542,436
2494438156,1235523759,Okechukwu D. Anyamele,61937129,5
2023498464,1532224525,Norman A. Desbiens,177097968,83
1964974226,1806769802,Angela M. Floden,24571045,21
2006504675,1825919829,Michael J. Rovine,79576946,108
2594150794,1923529851,Marcel Coenders,193662353,112
2087286014,1967545445,Jennifer A. Hershfield,111979921,4
2513225055,1971337206,Takashi Kusumi,22299242,153
2061727827,1981041208,Anna M. Bramley,1289490764,57
1534463031,2002621733,Katharine Bodnar,79463011,6
2333806616,2027440534,Nick Tilley,45129253,211
2099191756,2027625162,Heather M. Munro,901861585,29
2100401627,2034644280,Joseph M. Betz,1299303238,125
2038770277,2042503223,Joshua D. Freilich,92507152,105
2123482737,2054468727,Nurten Kayacan,197907453,65
2334511262,2054468727,Nurten Kayacan,197907453,65
1562604297,2067527600,Thomas O. Obisesan,137853757,139
2122363197,2067527600,Thomas O. Obisesan,137853757,139
2103969707,2067682582,Ellen W. Seely,1283280774,197
2289055104,2096724575,Michael Bang Petersen,204337017,95
2271983574,2096724575,Michael Bang Petersen,204337017,95
2014506602,2101130951,Youlian Liao,1925986,66
2075007566,2101130951,Youlian Liao,1925986,66
2328036493,2101130951,Youlian Liao,1925986,66
2124326620,2108482062,Mark D. Hayward,86519309,107
2110292651,2108482062,Mark D. Hayward,86519309,107
2074202553,2108482062,Mark D. Hayward,86519309,107
2096597774,2108482062,Mark D. Hayward,86519309,107
2129675591,2108482062,Mark D. Hayward,86519309,107
2185538512,2109675972,Susan Bruck,99043593,12
2146683587,2127842532,Hannah R. Day,1320320070,8
2753305554,2132736362,Ernawati Mustafa Kamal,139322472,19
2074687782,2137254788,Zulma Ortiz,14429277,50
1996672820,2146786378,Robert G. Morris,162577319,69
2058885811,2150497151,Gail A. Jensen,185443292,92
2106956944,2150497151,Gail A. Jensen,185443292,92
2618394217,2150810956,Jacinth Jia Xin Tan,180670191,10
2167127253,2150911502,Brian Karl Finch,26538001,67
2086998599,2158456019,Glinda S. Cooper,1302368450,129
2123306546,2161474708,Doneisha Snider,204465549,5
2219326519,2166017197,Paul W. Andrews,98251732,35
2129239092,2167669192,Bette Chambers,52099693,53
2137821308,2170662139,Mi Jung Lee,193775966,191
2166110564,2199095961,Mary Eschelbach Gregson,157725225,3
2519873748,2201027320,Julie R. Ingelfinger,136199984,384
