,pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier
0,102.pdf,1969-01-01,102,102.txt,How does P2P lending fit into the consumer credit market?,bbk-1
1,103.pdf,1969-01-01,103,103.txt,Moral Suasion in Regional Government Debt Markets,bbk-2
2,104.pdf,1969-01-01,104,104.txt,International monetary policy spillovers through the bank funding channel,bbk-3
3,106.pdf,1969-01-01,106,106.txt,"Quantitative Easing, Portfolio Rebalancing and Credit Growth: Micro Evidence from Germany",bbk-5
4,107.pdf,1969-01-01,107,107.txt,"Asset Purchases, Bank Lending, and Security Holdings: The Yield-Induced Portfolio Rebalancing Channel",bbk-6
5,108.pdf,1969-01-01,108,108.txt,A stress test framework for the German residential mortgage market - Methodology and Application,bbk-7
6,112.pdf,1969-01-01,112,112.txt,Will German banks earn their cost of capital?,bbk-11
7,113.pdf,1969-01-01,113,113.txt,The Role of Structural Funding for Stability in the German Banking Sector,bbk-12
8,114.pdf,1969-01-01,114,114.txt,Love and money with inheritance - marital sorting by labor income and inherited wealth in the modern partnership,bbk-13
9,117.pdf,1969-01-01,117,117.txt,A new perspective on the interest rate pass-through to non-maturing accounts,bbk-16
10,118.pdf,1969-01-01,118,118.txt,Vulnerable asset management? The case of mutual funds,bbk-17
11,120.pdf,1969-01-01,120,120.txt,CDS and Credit: Testing the Small Bang Theory of the Financial Universe with Micro Data,bbk-19
12,121.pdf,1969-01-01,121,121.txt,The Effect of Investing Abroad on Investment at Home,bbk-20
13,126.pdf,1969-01-01,126,126.txt,Cyclical investment behavior across financial institutions,bbk-25
14,128.pdf,1969-01-01,128,128.txt,Arbitraging the Basel securitization framework: Evidence from German ABS investment,bbk-27
15,129.pdf,1969-01-01,129,129.txt,The winner's curse: Evidence on the danger of aggressive credit growth in banking,bbk-28
16,130.pdf,1969-01-01,130,130.txt,Cutting the credit line: Evidence from Germany,bbk-29
17,132.pdf,1969-01-01,132,132.txt,Loan loss provisioning and procyclicality: Evidence from an expected loss model,bbk-31
18,135.pdf,1969-01-01,135,135.txt,"Interbank lending and distress: Observables, unobservables, and network structure",bbk-34
19,136.pdf,1969-01-01,136,136.txt,"Wealth shocks, credit-supply shocks, and asset allocation: Evidence from household and firm portfolios",bbk-35
20,138.pdf,1969-01-01,138,138.txt,Cash holdings of German open-end equity funds: Does ownership matter?,bbk-37
21,139.pdf,1969-01-01,139,139.txt,Is proprietary trading detrimental to retail investors?,bbk-38
22,140.pdf,1969-01-01,140,140.txt,Precautionary motives in short-term cash management: Evidence from German POS transactions,bbk-39
23,141.pdf,1969-01-01,141,141.txt,Testing the O-ring theory for FDI,bbk-40
24,144.pdf,1969-01-01,144,144.txt,The PHF: A comprehensive panel survey on household finances and wealth in Germany,bbk-43
25,145.pdf,1969-01-01,145,145.txt,Bank-related loan supply factors during the crisis: An analysis based on the German bank lending survey,bbk-44
26,146.pdf,1969-01-01,146,146.txt,The use of tax havens in exemption regimes,bbk-45
27,147.pdf,1969-01-01,147,147.txt,"Crises, rescues, and policy transmission through international banks",bbk-46
28,150.pdf,1969-01-01,150,150.txt,Do banks benefit from internationalization? Revisiting the market power-risk nexus,bbk-49
29,151.pdf,1969-01-01,151,151.txt,What drives portfolio investments of German banks in emerging capital markets?,bbk-50
30,152.pdf,1969-01-01,152,152.txt,Exports versus FDI revisited: does finance matter?,bbk-51
31,154.pdf,1969-01-01,154,154.txt,P2P Lenders versus Banks: Cream Skimming or Bottom Fishing?,bbk-53
32,156.pdf,1969-01-01,156,156.txt,"The Good, the Bad, and the Ugly: Impact of Negative Interest Rates and QE on the Profitability and Risk-Taking of 1600 German Banks",bbk-55
33,157.pdf,1969-01-01,157,157.txt, How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,bbk-56
34,158.pdf,1969-01-01,158,158.txt, Intercompany Loans and Profit Shifting Đ Evidence from Company-Level Data,bbk-57
35,159.pdf,1969-01-01,159,159.txt,Network and Border Effects: Where Do Foreign Multinationals Locate in Germany?,bbk-58
36,161.pdf,1969-01-01,161,161.txt,What determines the use of holding companies and ownership chains?,bbk-60
37,162.pdf,1969-01-01,162,162.txt,"Offshoring and the Onshore Composition of Occupations, Tasks and Skills",bbk-61
38,2817.pdf,1969-01-01,2817,2817.txt,Monetary policy and financial (in)stability: An integrated micro–macro approach,bbk-66
39,2822.pdf,1969-01-01,2822,2822.txt,Exports versus FDI in German manufacturing: firm performance and participation in international markets,bbk-71
40,2825.pdf,1969-01-01,2825,2825.txt,Firm-specific productivity risk over the business cycle: facts and aggregate implications,bbk-74
41,2828.pdf,1969-01-01,2828,2828.txt,Is local bias a cross-border phenomenon? Evidence from individual investors' international asset allocation,bbk-77
42,2830.pdf,1969-01-01,2830,2830.txt,The eurosystem money market auctions: a banking perspective,bbk-79
43,2831.pdf,1969-01-01,2831,2831.txt,How Low Business Tax Rates Attract Multinational Headquarters: Municipality-Level Evidence from Germany,bbk-80
44,2833.pdf,1969-01-01,2833,2833.txt,The effect of FDI on job separation,bbk-82
45,2837.pdf,1969-01-01,2837,2837.txt,The success of bank mergers revisited: an assessment based on a matching strategy,bbk-86
46,2838.pdf,1969-01-01,2838,2838.txt,Diversification and the banks' risk-return-characteristics: evidence from loan portfolios of German banks,bbk-87
47,2840.pdf,1969-01-01,2840,2840.txt,Environmental Regulation and Foreign Direct Investment: The Role of Mode of Entry,bbk-89
48,2841.pdf,1969-01-01,2841,2841.txt,What macroeconomic shocks affect the German banking system? Analysis in an integrated micro-macro model,bbk-91
49,2843.pdf,1969-01-01,2843,2843.txt,Are banks using hidden reserves to beat earnings benchmarks? Evidence from Germany,bbk-93
50,2845.pdf,1969-01-01,2845,2845.txt,Inefficient or just different? Effects of heterogeneity on bank efficiency scores,bbk-95
51,2847.pdf,1969-01-01,2847,2847.txt,Business cycles and FDI: evidence from German sectoral data,bbk-97
52,2848.pdf,1969-01-01,2848,2848.txt,FDI versus cross-border financial services: The globalisation of German banks,bbk-98
53,2851.pdf,1969-01-01,2851,2851.txt,Taxing banks: An evaluation of the German bank levy,bbk-101
54,2852.pdf,1969-01-01,2852,2852.txt,Financial constraints and the margins of FDI,bbk-102
55,2854.pdf,1969-01-01,2854,2854.txt,"Margins of international banking: is there a productivity pecking order in banking, too?",bbk-104
56,2855.pdf,1969-01-01,2855,2855.txt,Banks and sovereign risk: A granular view,bbk-105
57,2856.pdf,1969-01-01,2856,2856.txt,Volatile multinationals? Evidence from the labor demand of German firms,bbk-106
58,2857.pdf,1969-01-01,2857,2857.txt,Clustering or competition? The foreign investment behaviour of German banks,bbk-107
59,2858.pdf,1969-01-01,2858,2858.txt,"Where Enterprises Lead, People Follow? Links Between Migration and German FDI",bbk-108
60,2859.pdf,1969-01-01,2859,2859.txt,Heterogeneity in lending and sectoral growth: evidence from German bank-level data,bbk-109
61,2860.pdf,1969-01-01,2860,2860.txt,The Long Shadow of the Berlin Wall,bbk-110
62,2862.pdf,1969-01-01,2862,2862.txt,Taxation and Capital Structure Choice – Evidence from a Panel of German Multinationals,bbk-112
63,2867.pdf,1969-01-01,2867,2867.txt,The Impact of Thin-Capitalization Rules on the Capital Structure of Multinational Firms,bbk-117
64,2870.pdf,1969-01-01,2870,2870.txt,Firm Investment and Monetary Policy Transmission in the Euro Area,bbk-120
65,2873.pdf,1969-01-01,2873,2873.txt,The cross-sectional dynamics of German business cycles: a bird's eye view,bbk-123
66,2875.pdf,1969-01-01,2875,2875.txt,Investment Impact of Tax Loss Treatment - Empirical Insights from a Panel of Multinationals,bbk-125
67,2877.pdf,1969-01-01,2877,2877.txt,Interbank lending and monetary policy transmission: evidence for Germany,bbk-127
68,2878.pdf,1969-01-01,2878,2878.txt,Determinants of bank interest margins: Impact of maturity transformation,bbk-128
69,2883.pdf,1969-01-01,2883,2883.txt,The effects of privatization and consolidation on bank productivity: comparative evidence from Italy and Germany,bbk-133
70,2884.pdf,1969-01-01,2884,2884.txt,The cost efficiency of German banks: a comparison of SFA and DEA,bbk-134
71,2885.pdf,1969-01-01,2885,2885.txt,Internalization and internationalization under copeting real options,bbk-135
72,2886.pdf,1969-01-01,2886,2886.txt,International Profit Shifting and Multinational Firms in Developing Economies,bbk-136
73,2887.pdf,1969-01-01,2887,2887.txt,How would formula apportionment in the EU affect the distribution and the size of the corporate tax base? An analysis based on German multinationals,bbk-137
74,2889.pdf,1969-01-01,2889,2889.txt,Granularity adjustment for Basel II,bbk-139
75,2891.pdf,1969-01-01,2891,2891.txt,Forecasting Credit Portfolio Risk,bbk-141
76,2895.pdf,1969-01-01,2895,2895.txt,Evaluating the effects of ACE systems on multinational debt financing and investment,bbk-145
77,2897.pdf,1969-01-01,2897,2897.txt,German bank lending during emerging market crises: A bank level analysis,bbk-147
78,2899.pdf,1969-01-01,2899,2899.txt,Testing for Competition Among German Banks,bbk-149
79,2912.pdf,1969-01-01,2912,2912.txt,The stability of efficiency rankings when risk-preferences and objectives are different,bbk-162
80,2918.pdf,1969-01-01,2918,2918.txt,Finance and growth in a bank-based economy: is it quantity or quality that matters?,bbk-168
