,unique_identifier,PaperId,Doi
0,10.1001/archpedi.160.3.279,2137918531,10.1001/archpedi.160.3.279
1,10.1001/jama.287.9.1123,2106231056,10.1001/jama.287.9.1123
2,10.1038/ajh.2010.40,2039034380,10.1038/ajh.2010.40
3,10.1038/oby.2000.79,2029957476,10.1038/oby.2000.79
4,10.1038/oby.2009.365,2083124104,10.1038/oby.2009.365
5,10.1068/i0701,2075585088,10.1068/i0701
6,10.1080/10911350903341077,2039617691,10.1080/10911350903341077
7,10.1097/00001648-199307000-00005,2058242293,10.1097/00001648-199307000-00005
8,10.1097/AOG.0b013e31818b0df2,1986943575,10.1097/AOG.0b013e31818b0df2
9,10.1097/OLQ.0b013e318074e565,2017153096,10.1097/OLQ.0b013e318074e565
10,10.1177/0300060514555562,2117171877,10.1177/0300060514555562
11,10.1177/1059840511420878,2139461171,10.1177/1059840511420878
12,10.1177/147470491301100104,2212661682,10.1177/147470491301100104
13,10.1177/147470491301100316,2254456704,10.1177/147470491301100316
14,10.1177/2053951716665129,2528623553,10.1177/2053951716665129
15,10.1177/2158244013515690,1952394250,10.1177/2158244013515690
16,10.1177/2158244014522075,2105762850,10.1177/2158244014522075
17,10.1177/2158244014545459,2119591307,10.1177/2158244014545459
18,10.1177/2158244014555119,2269503640,10.1177/2158244014555119
19,10.1177/2158244015579940,2098525978,10.1177/2158244015579940
20,10.1177/2158244015614606,2236134709,10.1177/2158244015614606
21,10.1177/2158244016679473,2560769351,10.1177/2158244016679473
22,10.1186/1471-2458-12-185,1996390033,10.1186/1471-2458-12-185
23,10.1370/afm.214,2121051228,10.1370/afm.214
24,10.1371/journal.pone.0066353,2084321607,10.1371/journal.pone.0066353
25,10.1542/peds.99.4.e1,2045608624,10.1542/peds.99.4.e1
26,10.3945/ajcn.2009.28222,2150991052,10.3945/ajcn.2009.28222
27,10.4054/DemRes.2007.17.24,2144467111,10.4054/DemRes.2007.17.24
28,10.1038/jes.2008.10,2079708374,10.1038/jes.2008.10
29,10.1038/oby.2006.239,2000591642,10.1038/oby.2006.239
30,10.1038/oby.2012.23,1991182719,10.1038/oby.2012.23
31,10.1042/AN20110004,2023079484,10.1042/AN20110004
32,10.1093/aje/kwm121,2151490542,10.1093/aje/kwm121
33,10.1111/j.1524-4733.2006.00095.x,2100620603,10.1111/j.1524-4733.2006.00095.x
34,10.1177/0300060514561134,2101723605,10.1177/0300060514561134
35,10.1177/1476127017706610,2614034693,10.1177/1476127017706610
36,10.1177/1534735416643384,2345992415,10.1177/1534735416643384
37,10.1177/1753944718792420,2890802503,10.1177/1753944718792420
38,10.1177/1756283X17702614,,
39,10.1177/1759091415592126,1933555931,10.1177/1759091415592126
40,10.1177/1759313116642898,2517070124,10.1177/1759313116642898
41,10.1177/2158244014556991,2113649357,10.1177/2158244014556991
42,10.1177/2158244015604690,2221605853,10.1177/2158244015604690
43,10.1177/2158244016680855,2560131893,10.1177/2158244016680855
44,10.1177/2158244017701527,2600869067,10.1177/2158244017701527
45,10.1186/1471-2458-7-33,2113319386,10.1186/1471-2458-7-33
46,10.1186/1747-597X-5-19,2125910289,10.1186/1747-597X-5-19
47,10.1377/hlthaff.18.2.30,2036721462,10.1377/hlthaff.18.2.30
48,10.2337/dc08-2326,2119813462,10.2337/dc08-2326
49,10.3390/ijerph14111403,2768500742,10.3390/ijerph14111403
50,bbk-122,,
51,bbk-251,,
52,10.1001/archpedi.159.7.657,2043809313,10.1001/archpedi.159.7.657
53,10.1001/archpedi.159.9.824,2167086052,10.1001/archpedi.159.9.824
54,10.1001/archpsyc.63.7.824,2153393568,10.1001/archpsyc.63.7.824
55,10.1038/sj.ijo.0801414,1989291110,10.1038/sj.ijo.0801414
56,10.1042/AN20110038,1975912595,10.1042/AN20110038
57,10.1093/gerona/52A.1.M19,2144277531,10.1093/gerona/52A.1.M19
58,10.1177/0300060514522204,2096565623,10.1177/0300060514522204
59,10.1177/0300060516680441,2576634242,10.1177/0300060516680441
60,10.1177/1470320315595572,2133260645,10.1177/1470320315595572
61,10.1177/1470594X18782086,2800353820,10.1177/1470594X18782086
62,10.1177/1742715016651711,2342171666,10.1177/1742715016651711
63,10.1177/2041669516662666,2518418831,10.1177/2041669516662666
64,10.1177/2041669518792062,2888671062,10.1177/2041669518792062
65,10.1177/2053168014565128,2135373199,10.1177/2053168014565128
66,10.1177/2158244013490705,2114605723,10.1177/2158244013490705
67,10.1177/2158244013502987,2178112288,10.1177/2158244013502987
68,10.1177/2158244013504935,2109203769,10.1177/2158244013504935
69,10.1177/2158244015572283,2292673852,10.1177/2158244015572283
70,10.1177/2158244015585828,2341547112,10.1177/2158244015585828
71,10.1177/2158244015604189,2408763294,10.1177/2158244015604189
72,10.1177/2158244015622539,2265019404,10.1177/2158244015622539
73,10.1377/hlthaff.18.4.105,2883843682,10.1377/hlthaff.18.4.105
74,10.1377/hlthaff.18.4.105,2172104676,10.1377/hlthaff.18.4.105
75,10.1542/peds.108.2.e30,2096672748,10.1542/peds.108.2.e30
76,10.2337/dc09-0309,2164448435,10.2337/dc09-0309
77,bbk-144,,
78,bbk-304,,
79,bbk-390,,
80,10.1002/cbm.1930,1796919174,10.1002/cbm.1930
81,10.1068/b150461,2034784013,10.1068/b150461
82,10.1068/i0653,2032064706,10.1068/i0653
83,10.1080/19345747.2015.1078862,2285462420,10.1080/19345747.2015.1078862
84,10.1093/geronb/54B.5.S279,2145123015,10.1093/geronb/54B.5.S279
85,10.1093/geronb/58.6.P320,2171159528,10.1093/geronb/58.6.P320
86,10.1093/geront/36.3.363,2107929544,10.1093/geront/36.3.363
87,10.1093/geront/44.2.176,2138712059,10.1093/geront/44.2.176
88,10.1093/her/16.1.21,2145711234,10.1093/her/16.1.21
89,10.1097/ALN.0b013e31819b5bdc,2126612510,10.1097/ALN.0b013e31819b5bdc
90,10.1158/1055-9965.EPI-08-0915,2078725739,10.1158/1055-9965.EPI-08-0915
91,10.1161/01.CIR.0000137913.26087.F0,2100049802,10.1161/01.CIR.0000137913.26087.F0
92,10.1177/1470320314530018,2114892351,10.1177/1470320314530018
93,10.1177/1470320314568520,2162220631,10.1177/1470320314568520
94,10.1177/1470320315592565,1840840637,10.1177/1470320315592565
95,10.1177/1470320317703451,2616761094,10.1177/1470320317703451
96,10.1177/147470491000800208,2208406147,10.1177/147470491000800208
97,10.1177/1753465817710596,2624809766,10.1177/1753465817710596
98,10.1177/2041669516661903,2506716397,10.1177/2041669516661903
99,10.1177/2041669518759123,2789846683,10.1177/2041669518759123
100,10.1177/2053951715621568,2308584766,10.1177/2053951715621568
101,10.1177/2055102914564583,2127926686,10.1177/2055102914564583
102,10.1177/2158244013511261,2177472014,10.1177/2158244013511261
103,10.1177/2158244016650241,2395385404,10.1177/2158244016650241
104,10.1186/1471-2393-14-3,2044995304,10.1186/1471-2393-14-3
105,10.1371/journal.pmed.0020160,1981559442,10.1371/journal.pmed.0020160
106,10.1377/hlthaff.8.3.91,2106956944,10.1377/hlthaff.8.3.91
107,10.2147/COPD.S5237,2105811019,10.2147/COPD.S5237
108,bbk-92,,
109,10.1001/jama.291.18.2229,2157615258,10.1001/jama.291.18.2229
110,10.1007/s10584-009-9637-8,2161358095,10.1007/s10584-009-9637-8
111,10.1038/oby.2008.35,2139657333,10.1038/oby.2008.35
112,10.1038/sdata.2018.11,2791723176,10.1038/sdata.2018.11
113,10.1038/sj.ijo.0800422,2042548473,10.1038/sj.ijo.0800422
114,10.1038/sj.jea.7500278,2067486407,10.1038/sj.jea.7500278
115,10.1079/PHN2000114,2158243368,10.1079/PHN2000114
116,10.1093/gerona/55.7.M400,2169917084,10.1093/gerona/55.7.M400
117,10.1093/geronb/52B.4.S212,2102073500,10.1093/geronb/52B.4.S212
118,10.1093/geronb/53B.1.P4,2169037888,10.1093/geronb/53B.1.P4
119,10.1093/geronb/gbr152,2112726183,10.1093/geronb/gbr152
120,10.1093/infdis/jis106,2144513168,10.1093/infdis/jis106
121,10.1177/0300060517716343,2744357640,10.1177/0300060517716343
122,10.1177/1178221816686060,2592080238,10.1177/1178221816686060
123,10.1177/1462474517701303,2597440272,10.1177/1462474517701303
124,10.1177/1470320312466127,2116790112,10.1177/1470320312466127
125,10.1177/1470320317739987,2793006250,10.1177/1470320317739987
126,10.1177/147470491000800205,2186126611,10.1177/147470491000800205
127,10.1177/147470491201000318,2151183572,10.1177/147470491201000318
128,10.1177/147470491201000504,2289055104,10.1177/147470491201000504
129,10.1177/1534735415617022,2284246480,10.1177/1534735415617022
130,10.1177/1556264616675202,2555776032,10.1177/1556264616675202
131,10.1177/1750698018790120,2887535394,10.1177/1750698018790120
132,10.1177/2041669515593028,2249142378,10.1177/2041669515593028
133,10.1177/2053168015622072,2196964148,10.1177/2053168015622072
134,10.1177/2053168017742005,2770773550,10.1177/2053168017742005
135,10.1177/2158244014525417,2136212744,10.1177/2158244014525417
136,10.1177/2158244016659904,2466967860,10.1177/2158244016659904
137,10.1177/2158244017725555,2751933617,10.1177/2158244017725555
138,bbk-263,,
139,10.1001/jama.297.24.2725,2077058864,10.1001/jama.297.24.2725
140,10.1001/jamapediatrics.2013.550,2045890739,10.1001/jamapediatrics.2013.550
141,10.1007/s11695-010-0335-4,2090838292,10.1007/s11695-010-0335-4
142,10.1038/nutd.2012.20,2049514208,10.1038/nutd.2012.20
143,10.1068/i0552,2077363515,10.1068/i0552
144,10.1080/15401420490464367,2062100483,10.1080/15401420490464367
145,10.1093/gerona/51A.5.B362,2138379163,10.1093/gerona/51A.5.B362
146,10.1093/geronb/54B.4.S194,2145182989,10.1093/geronb/54B.4.S194
147,10.1093/geront/38.1.7,2134121743,10.1093/geront/38.1.7
148,10.1093/jpepsy/jsj024,2153309097,10.1093/jpepsy/jsj024
149,10.1093/oxfordjournals.aje.a008797,2123106029,10.1093/oxfordjournals.aje.a008797
150,10.1101/gr.3907305,2085825734,10.1101/gr.3907305
151,10.1136/oem.2011.064758,2133027584,10.1136/oem.2011.064758
152,10.1161/01.STR.29.7.1329,2003564673,10.1161/01.STR.29.7.1329
153,10.1177/147470490800600302,2113999319,10.1177/147470490800600302
154,10.1177/1755088217713765,2618933336,10.1177/1755088217713765
155,10.1177/2158244017692013,2601977564,10.1177/2158244017692013
156,10.1375/twin.11.1.12,1966850981,10.1375/twin.11.1.12
157,10.2337/diacare.24.3.447,2037480044,10.2337/diacare.24.3.447
158,10.3122/jabfm.2009.05.080231,2101371788,10.3122/jabfm.2009.05.080231
159,10.1002/art.24839,2003143409,10.1002/art.24839
160,10.1038/oby.2012.20,2008962343,10.1038/oby.2012.20
161,10.1042/AN20100017,1970820517,10.1042/AN20100017
162,10.1093/aje/kwg275,2096782637,10.1093/aje/kwg275
163,10.1093/aje/kwm142,2161717611,10.1093/aje/kwm142
164,10.1093/geronb/60.3.S137,2145140408,10.1093/geronb/60.3.S137
165,10.1093/geront/36.4.430,2135372821,10.1093/geront/36.4.430
166,10.1093/geront/gnq103,2107470320,10.1093/geront/gnq103
167,10.1093/infdis/174.5.1120,2055726565,10.1093/infdis/174.5.1120
168,10.1093/rheumatology/ken066,2116684912,10.1093/rheumatology/ken066
169,10.1097/01.olq.0000137898.17919.35,1973326303,10.1097/01.olq.0000137898.17919.35
170,10.1111/j.1526-4637.2004.04001.x,2146004753,10.1111/j.1526-4637.2004.04001.x
171,10.1136/ip.2006.012591,2069457221,10.1136/ip.2006.012591
172,10.1136/jech.2002.003251,2072619043,10.1136/jech.2002.003251
173,10.1161/CIRCULATIONAHA.106.645473,1980127110,10.1161/CIRCULATIONAHA.106.645473
