,AuthorId,DisplayName,LastKnownAffiliationId,PaperCount,pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier,Doi
0,39367150,Bruce H. R. Wolffenbuttel,1334415907.0,546,105.pdf,1969-01-01,105.0,105.txt,Cheap Talk? Financial Sanctions and Non-Financial Activity,bbk-4,10.1001/archpedi.160.3.279
1,141843689,Sylvie Démurger,203339264.0,79,109.pdf,1969-01-01,109.0,109.txt,Banks' Trading after the Lehman Crisis - The Role of Unconventional Monetary Policy,bbk-8,10.1001/jama.287.9.1123
2,315081531,Paul M. Guinther,888729015.0,6,110.pdf,1969-01-01,110.0,110.txt,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,bbk-9,10.1038/ajh.2010.40
3,345889393,Casey A. Klofstad,145608581.0,47,111.pdf,1969-01-01,111.0,111.txt,The Financial Market Effects of the ECB's Asset Purchase Programs,bbk-10,10.1038/oby.2000.79
4,430514087,Julie Byles,78757542.0,436,115.pdf,1969-01-01,115.0,115.txt,Interbank Intermediation,bbk-14,10.1038/oby.2009.365
5,1235523759,Okechukwu D. Anyamele,61937129.0,5,116.pdf,1969-01-01,116.0,116.txt,Why do banks bear interest rate risk?,bbk-15,10.1068/i0701
6,1532224525,Norman A. Desbiens,177097968.0,83,119.pdf,1969-01-01,119.0,119.txt,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,bbk-18,10.1080/10911350903341077
7,1806769802,Angela M. Floden,24571045.0,21,122.pdf,1969-01-01,122.0,122.txt,BanksŐ Equity Stakes and Lending: Evidence from a Tax Reform,bbk-21,10.1097/00001648-199307000-00005
8,1825919829,Michael J. Rovine,79576946.0,108,123.pdf,1969-01-01,123.0,123.txt,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,bbk-22,10.1097/AOG.0b013e31818b0df2
9,1923529851,Marcel Coenders,193662353.0,112,124.pdf,1969-01-01,124.0,124.txt,Cross-border transmission of emergency liquidity,bbk-23,10.1097/OLQ.0b013e318074e565
10,1967545445,Jennifer A. Hershfield,111979921.0,4,125.pdf,1969-01-01,125.0,125.txt,Bank stress testing under different balance sheet assumptions,bbk-24,10.1177/0300060514555562
11,1971337206,Takashi Kusumi,22299242.0,153,127.pdf,1969-01-01,127.0,127.txt,Fundamentals matter: Idiosyncratic shocks and interbank relations,bbk-26,10.1177/1059840511420878
12,1981041208,Anna M. Bramley,1289490764.0,57,133.pdf,1969-01-01,133.0,133.txt,Pro-cyclical capital regulation and lending,bbk-32,10.1177/147470491301100104
13,2002621733,Katharine Bodnar,79463011.0,6,134.pdf,1969-01-01,134.0,134.txt,A network analysis of the evolution of the German interbank market,bbk-33,10.1177/147470491301100316
14,2027440534,Nick Tilley,45129253.0,211,137.pdf,1969-01-01,137.0,137.txt,"Market timing, maturity mismatch, and risk management: Evidence from the banking industry",bbk-36,10.1177/2053951716665129
15,2027625162,Heather M. Munro,901861585.0,29,142.pdf,1969-01-01,142.0,142.txt,Evaluation of minimum capital requirements for bank loans to SMEs,bbk-41,10.1177/2158244013515690
16,2034644280,Joseph M. Betz,1299303238.0,125,148.pdf,1969-01-01,148.0,148.txt,"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors",bbk-47,10.1177/2158244014522075
17,2042503223,Joshua D. Freilich,92507152.0,105,149.pdf,1969-01-01,149.0,149.txt,Are there disadvantaged clienteles in mutual funds?,bbk-48,10.1177/2158244014545459
18,2054468727,Nurten Kayacan,197907453.0,65,155.pdf,1969-01-01,155.0,155.txt,Tax Influence on Financial Structures of M&As,bbk-54,10.1177/2158244014555119
19,2054468727,Nurten Kayacan,197907453.0,65,160.pdf,1969-01-01,160.0,160.txt,Thin-capitalization rules and company responses: Experience from German legislation,bbk-59,10.1177/2158244015579940
20,2067527600,Thomas O. Obisesan,137853757.0,139,164.pdf,1969-01-01,164.0,164.txt,Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data,bbk-63,10.1177/2158244015614606
21,2067527600,Thomas O. Obisesan,137853757.0,139,165.pdf,1969-01-01,165.0,165.txt, Taxation and the financial structure of German outbound FDI,bbk-64,10.1177/2158244016679473
22,2067682582,Ellen W. Seely,1283280774.0,197,166.pdf,1996-01-01,166.0,166.txt,"Nativity, declining health, and preferences in living arrangements among elderly Mexican Americans: Implications for long-term care",10.1093/geront/36.4.464,10.1186/1471-2458-12-185
23,2096724575,Michael Bang Petersen,204337017.0,95,167.pdf,2001-01-01,167.0,167.txt,"Duration or disadvantage? Exploring nativity, ethnicity, and health in midlife",10.1093/geronb/56.5.S275,10.1370/afm.214
24,2096724575,Michael Bang Petersen,204337017.0,95,168.pdf,1999-01-01,168.0,168.txt,Age at migration and family dependency among older Mexican immigrants: Recent evidence from the Mexican American EPESE,10.1093/geront/39.1.59,10.1371/journal.pone.0066353
25,2101130951,Youlian Liao,1925986.0,66,169.pdf,1999-01-01,169.0,169.txt,Caregiving networks of elderly persons: Variation by marital status,10.1093/geront/39.6.695,10.1542/peds.99.4.e1
26,2101130951,Youlian Liao,1925986.0,66,170.pdf,1998-01-01,170.0,170.txt,Validity of self-reported diagnoses leading to hospitalization: a comparison of self-reports with hospital records in a prospective study of American adults,10.1093/oxfordjournals.aje.a009387,10.3945/ajcn.2009.28222
27,2101130951,Youlian Liao,1925986.0,66,171.pdf,1996-01-01,171.0,171.txt,Factors associated with paranoid symptoms in a community sample of older adults,10.1093/geront/36.1.70,10.4054/DemRes.2007.17.24
28,2108482062,Mark D. Hayward,86519309.0,107,172.pdf,2000-01-01,172.0,172.txt,The rise and decline of homicide - and why,10.1146/annurev.publhealth.21.1.505,10.1038/jes.2008.10
29,2108482062,Mark D. Hayward,86519309.0,107,173.pdf,1993-01-01,173.0,173.txt,Antigenic stimulation and multiple myeloma. A prospective study,10.1002/1097-0142(19931001)72:7<2148::AID-CNCR2820720714>3.0.CO;2-Q,10.1038/oby.2006.239
30,2108482062,Mark D. Hayward,86519309.0,107,174.pdf,1999-01-01,174.0,174.txt,"Reference range concentrations of N-acetyl-S-(2-hydroxyethyl)-L-cysteine, a common metabolite of several volatile organic compounds, in the urine of adults in the United States",10.1038/sj.jea.7500032,10.1038/oby.2012.23
31,2108482062,Mark D. Hayward,86519309.0,107,175.pdf,1993-01-01,175.0,175.txt,State estimates of uninsured children,10.1377/hlthaff.12.1.144,10.1042/AN20110004
