,publication_id,AuthorId,Doi
0,5713,1920061433,10.1177/00220345870660010201
1,5713,2569351966,10.1177/00220345870660010201
2,5714,2127211568,10.1177/0095798499025001006
3,5715,2721305972,10.1177/1532673X9402200107
4,5716,2793352098,10.1177/002234337901600305
5,5716,2705789217,10.1177/002234337901600305
6,5717,2628801028,10.1177/0022343303040001207
7,5718,2005827806,10.1177/10780870022184462
8,5719,2616973580,10.1111/j.1467-9248.1977.tb01285.x
9,5719,1992900025,10.1111/j.1467-9248.1977.tb01285.x
10,5719,2360761852,10.1111/j.1467-9248.1977.tb01285.x
11,5720,2687268914,10.1177/019263659708159103
12,5721,2097604331,10.1177/1532673X9001800405
13,5722,2097604331,10.1177/1532673X9302100402
14,5722,2007755741,10.1177/1532673X9302100402
15,5723,2125334090,10.1177/002221949803100203
16,5724,2424108232,10.1177/001083602762574469
17,5725,148306485,10.1177/0146167201278005
18,5725,1660152428,10.1177/0146167201278005
19,5725,2060069928,10.1177/0146167201278005
20,5726,1980535627,10.1177/0164027500226006
21,5726,2474341466,10.1177/0164027500226006
22,5726,2306692314,10.1177/0164027500226006
23,5726,234452295,10.1177/0164027500226006
24,5728,2573041070,10.1177/004912417900800205
25,5729,30168762,10.1177/107808747801400201
26,5729,2569029069,10.1177/107808747801400201
27,5730,2262399659,10.2190/V13T-0DT1-TX7D-9M9X
28,5731,2619838477,10.1177/075910639303800102
29,5731,2569847616,10.1177/075910639303800102
30,5731,2129177544,10.1177/075910639303800102
31,5732,2943851515,10.1177/0022343300037001006
32,5733,2270601822,10.1177/002200277201600204
33,5734,2235772690,10.1007/BF02689973
34,5735,1378222547,10.1177/0895904800144004
35,5735,2080412211,10.1177/0895904800144004
36,5735,2116269083,10.1177/0895904800144004
37,5736,1917376087,10.1177/000276427501800606
38,5737,2307451610,10.1177/1088767902006003003
39,5737,2128730210,10.1177/1088767902006003003
40,5737,2129350508,10.1177/1088767902006003003
41,5737,2217008210,10.1177/1088767902006003003
42,5738,2051109332,10.1177/002193470103100501
43,5739,2650360296,10.1177/002200277201600103
44,5740,224166353,10.1111/0081-1750.00079
45,5740,2179769924,10.1111/0081-1750.00079
46,5740,2035401308,10.1111/0081-1750.00079
47,5740,2171755149,10.1111/0081-1750.00079
48,5741,2139843128,10.1177/0164027599211003
49,5742,2202854230,10.1111/1467-9531.271029
50,5743,1455205052,10.1177/109114219001800205
51,5743,2646746418,10.1177/109114219001800205
52,5744,346002549,10.1177/073889429901700103
53,5745,2113089710,10.1177/1532673X8901700106
54,5745,2108207668,10.1177/1532673X8901700106
55,5746,2108207668,10.1177/1532673X9702500205
56,5747,1976183551,10.1177/1081180X9900400402
