pdf_file_name,pub_date,publication_id,text_file_name,title,unique_identifier
105.pdf,1969-01-01,105,105.txt,Cheap Talk? Financial Sanctions and Non-Financial Activity,bbk-4
109.pdf,1969-01-01,109,109.txt,Banks' Trading after the Lehman Crisis - The Role of Unconventional Monetary Policy,bbk-8
110.pdf,1969-01-01,110,110.txt,A Comprehensive View on Risk Reporting: Evidence From Supervisory Data,bbk-9
111.pdf,1969-01-01,111,111.txt,The Financial Market Effects of the ECB's Asset Purchase Programs,bbk-10
115.pdf,1969-01-01,115,115.txt,Interbank Intermediation,bbk-14
116.pdf,1969-01-01,116,116.txt,Why do banks bear interest rate risk?,bbk-15
119.pdf,1969-01-01,119,119.txt,International Banking and Cross-Border Effects of Regulation: Lessons from Germany,bbk-18
122.pdf,1969-01-01,122,122.txt,BanksŐ Equity Stakes and Lending: Evidence from a Tax Reform,bbk-21
123.pdf,1969-01-01,123,123.txt,M-PRESS-CreditRisk: A holistic micro- and macro-prudential approach to capital requirements,bbk-22
124.pdf,1969-01-01,124,124.txt,Cross-border transmission of emergency liquidity,bbk-23
125.pdf,1969-01-01,125,125.txt,Bank stress testing under different balance sheet assumptions,bbk-24
127.pdf,1969-01-01,127,127.txt,Fundamentals matter: Idiosyncratic shocks and interbank relations,bbk-26
133.pdf,1969-01-01,133,133.txt,Pro-cyclical capital regulation and lending,bbk-32
134.pdf,1969-01-01,134,134.txt,A network analysis of the evolution of the German interbank market,bbk-33
137.pdf,1969-01-01,137,137.txt,"Market timing, maturity mismatch, and risk management: Evidence from the banking industry",bbk-36
142.pdf,1969-01-01,142,142.txt,Evaluation of minimum capital requirements for bank loans to SMEs,bbk-41
148.pdf,1969-01-01,148,148.txt,"Portfolio holdings in the euro area - home bias and the role of international, domestic and sector-specific factors",bbk-47
149.pdf,1969-01-01,149,149.txt,Are there disadvantaged clienteles in mutual funds?,bbk-48
155.pdf,1969-01-01,155,155.txt,Tax Influence on Financial Structures of M&As,bbk-54
160.pdf,1969-01-01,160,160.txt,Thin-capitalization rules and company responses: Experience from German legislation,bbk-59
164.pdf,1969-01-01,164,164.txt,Transfer Pricing of Intrafirm Sales as a Profit Shifting Channel - Evidence from German Firm Data,bbk-63
165.pdf,1969-01-01,165,165.txt, Taxation and the financial structure of German outbound FDI,bbk-64
166.pdf,1996-01-01,166,166.txt,"Nativity, declining health, and preferences in living arrangements among elderly Mexican Americans: Implications for long-term care",10.1093/geront/36.4.464
167.pdf,2001-01-01,167,167.txt,"Duration or disadvantage? Exploring nativity, ethnicity, and health in midlife",10.1093/geronb/56.5.S275
168.pdf,1999-01-01,168,168.txt,Age at migration and family dependency among older Mexican immigrants: Recent evidence from the Mexican American EPESE,10.1093/geront/39.1.59
169.pdf,1999-01-01,169,169.txt,Caregiving networks of elderly persons: Variation by marital status,10.1093/geront/39.6.695
170.pdf,1998-01-01,170,170.txt,Validity of self-reported diagnoses leading to hospitalization: a comparison of self-reports with hospital records in a prospective study of American adults,10.1093/oxfordjournals.aje.a009387
171.pdf,1996-01-01,171,171.txt,Factors associated with paranoid symptoms in a community sample of older adults,10.1093/geront/36.1.70
172.pdf,2000-01-01,172,172.txt,The rise and decline of homicide - and why,10.1146/annurev.publhealth.21.1.505
173.pdf,1993-01-01,173,173.txt,Antigenic stimulation and multiple myeloma. A prospective study,10.1002/1097-0142(19931001)72:7<2148::AID-CNCR2820720714>3.0.CO;2-Q
174.pdf,1999-01-01,174,174.txt,"Reference range concentrations of N-acetyl-S-(2-hydroxyethyl)-L-cysteine, a common metabolite of several volatile organic compounds, in the urine of adults in the United States",10.1038/sj.jea.7500032
175.pdf,1993-01-01,175,175.txt,State estimates of uninsured children,10.1377/hlthaff.12.1.144
176.pdf,1997-01-01,176,176.txt,"Prevalence and impact of risk factors for lower body difficulty among Mexican Americans, African Americans, and Whites",10.1093/gerona/52A.2.M97
177.pdf,1984-01-01,177,177.txt,The performance of endarterectomy for disease of the extracranial arteries of the head,10.1161/01.STR.15.6.948
178.pdf,2000-01-01,178,178.txt,Asthma and maternal body mass index are related to pediatric body mass index and obesity: results from the Third National Health and Nutrition Examination Survey,10.1038/oby.2000.74
179.pdf,2000-01-01,179,179.txt,Is testing children for type 2 diabetes a lost battle?,10.2337/diacare.23.9.1442
180.pdf,1996-01-01,180,180.txt,"Double Jeopardy, Aging as Leveler, or Persistent Health Inequality? A Longitudinal Analysis of White and Black Americans",10.1093/geronb/51B.6.S319
